t1,t2,colony,num_cells1,num_cells2,method,tp,fp,tn,fn,acc,f1,timediff
155,157,5,29,29,gcn,29,0,812,0,1.0,1.0,10
87,88,6,85,91,gcn,85,0,7650,0,1.0,1.0,5
83,87,6,78,85,gcn,78,0,6552,0,1.0,1.0,20
70,71,5,9,9,gcn,9,0,72,0,1.0,1.0,5
43,44,6,17,17,gcn,17,0,272,0,1.0,1.0,5
67,69,6,43,47,gcn,42,1,1977,1,0.9990103908955963,0.9767441860465116,10
86,87,6,85,85,gcn,85,0,7140,0,1.0,1.0,5
90,93,5,11,11,gcn,11,0,110,0,1.0,1.0,15
87,89,5,10,11,gcn,10,0,100,0,1.0,1.0,10
23,27,6,9,10,gcn,9,0,81,0,1.0,1.0,20
43,46,6,17,18,gcn,17,0,289,0,1.0,1.0,15
67,70,6,43,47,gcn,41,2,1976,2,0.9980207817911925,0.9534883720930233,15
74,76,5,10,10,gcn,10,0,90,0,1.0,1.0,10
7,11,5,3,3,gcn,3,0,6,0,1.0,1.0,20
45,48,5,7,8,gcn,7,0,49,0,1.0,1.0,15
145,149,5,24,27,gcn,24,0,624,0,1.0,1.0,20
79,80,5,10,10,gcn,10,0,90,0,1.0,1.0,5
103,105,5,14,14,gcn,14,0,182,0,1.0,1.0,10
30,33,6,11,12,gcn,11,0,121,0,1.0,1.0,15
113,115,5,15,15,gcn,15,0,210,0,1.0,1.0,10
94,95,6,120,123,gcn,120,0,14640,0,1.0,1.0,5
163,166,5,33,35,gcn,32,1,1121,1,0.9982683982683983,0.9696969696969697,15
9,13,6,6,6,gcn,6,0,30,0,1.0,1.0,20
54,55,5,8,8,gcn,8,0,56,0,1.0,1.0,5
72,75,5,9,10,gcn,9,0,81,0,1.0,1.0,15
110,111,5,14,14,gcn,14,0,182,0,1.0,1.0,5
93,97,5,11,12,gcn,11,0,121,0,1.0,1.0,20
10,11,6,6,6,gcn,6,0,30,0,1.0,1.0,5
87,91,5,10,11,gcn,10,0,100,0,1.0,1.0,20
113,116,5,15,17,gcn,15,0,240,0,1.0,1.0,15
176,178,5,37,38,gcn,37,0,1369,0,1.0,1.0,10
138,142,5,23,24,gcn,23,0,529,0,1.0,1.0,20
19,20,6,7,7,gcn,7,0,42,0,1.0,1.0,5
171,175,5,36,37,gcn,36,0,1296,0,1.0,1.0,20
85,86,6,84,85,gcn,84,0,7056,0,1.0,1.0,5
41,43,6,17,17,gcn,17,0,272,0,1.0,1.0,10
3,6,6,3,4,gcn,3,0,9,0,1.0,1.0,15
21,22,5,3,3,gcn,3,0,6,0,1.0,1.0,5
51,55,5,8,8,gcn,8,0,56,0,1.0,1.0,20
78,81,6,67,72,gcn,67,0,4757,0,1.0,1.0,15
115,118,5,15,18,gcn,13,2,253,2,0.9851851851851852,0.8666666666666667,15
68,70,6,47,47,gcn,47,0,2162,0,1.0,1.0,10
77,78,6,64,67,gcn,64,0,4224,0,1.0,1.0,5
10,14,6,6,6,gcn,6,0,30,0,1.0,1.0,20
112,116,5,15,17,gcn,15,0,240,0,1.0,1.0,20
17,20,6,6,7,gcn,6,0,36,0,1.0,1.0,15
120,123,5,19,21,gcn,19,0,380,0,1.0,1.0,15
21,24,5,3,4,gcn,3,0,9,0,1.0,1.0,15
16,18,5,3,3,gcn,3,0,6,0,1.0,1.0,10
49,50,5,8,8,gcn,8,0,56,0,1.0,1.0,5
31,35,6,11,13,gcn,10,1,131,1,0.986013986013986,0.9090909090909091,20
66,68,5,9,9,gcn,9,0,72,0,1.0,1.0,10
35,38,6,13,14,gcn,13,0,169,0,1.0,1.0,15
120,121,5,19,21,gcn,19,0,380,0,1.0,1.0,5
0,2,6,3,3,gcn,3,0,6,0,1.0,1.0,10
78,79,6,67,68,gcn,67,0,4489,0,1.0,1.0,5
28,29,6,10,10,gcn,10,0,90,0,1.0,1.0,5
90,92,5,11,11,gcn,11,0,110,0,1.0,1.0,10
39,41,5,7,7,gcn,7,0,42,0,1.0,1.0,10
66,68,6,43,47,gcn,42,1,1977,1,0.9990103908955963,0.9767441860465116,10
1,2,5,2,2,gcn,2,0,2,0,1.0,1.0,5
95,99,6,123,144,gcn,119,4,17585,4,0.9995483288166215,0.967479674796748,20
8,9,5,3,3,gcn,3,0,6,0,1.0,1.0,5
31,35,5,5,6,gcn,5,0,25,0,1.0,1.0,20
147,150,5,26,27,gcn,26,0,676,0,1.0,1.0,15
31,34,6,11,12,gcn,11,0,121,0,1.0,1.0,15
64,68,5,9,9,gcn,9,0,72,0,1.0,1.0,20
95,99,5,12,12,gcn,12,0,132,0,1.0,1.0,20
94,97,6,120,131,gcn,116,4,15596,4,0.9994910941475827,0.9666666666666667,15
69,72,6,47,50,gcn,47,0,2303,0,1.0,1.0,15
38,41,6,14,17,gcn,14,0,224,0,1.0,1.0,15
83,87,5,10,10,gcn,10,0,90,0,1.0,1.0,20
138,141,5,23,24,gcn,23,0,529,0,1.0,1.0,15
96,98,6,127,137,gcn,127,0,17272,0,1.0,1.0,10
79,81,5,10,10,gcn,10,0,90,0,1.0,1.0,10
29,32,5,4,5,gcn,4,0,16,0,1.0,1.0,15
18,19,6,7,7,gcn,7,0,42,0,1.0,1.0,5
52,55,6,26,28,gcn,26,0,702,0,1.0,1.0,15
25,28,5,4,4,gcn,4,0,12,0,1.0,1.0,15
90,94,6,102,120,gcn,101,1,12137,1,0.9998366013071895,0.9901960784313726,20
44,45,6,17,17,gcn,17,0,272,0,1.0,1.0,5
114,118,5,15,18,gcn,14,1,254,1,0.9925925925925926,0.9333333333333333,20
19,22,6,7,8,gcn,7,0,49,0,1.0,1.0,15
37,40,5,6,7,gcn,6,0,36,0,1.0,1.0,15
84,88,6,81,91,gcn,81,0,7290,0,1.0,1.0,20
23,25,6,9,9,gcn,9,0,72,0,1.0,1.0,10
3,5,6,3,3,gcn,3,0,6,0,1.0,1.0,10
95,96,6,123,127,gcn,123,0,15498,0,1.0,1.0,5
45,48,6,17,20,gcn,16,1,322,1,0.9941176470588236,0.9411764705882353,15
73,75,6,52,57,gcn,52,0,2912,0,1.0,1.0,10
58,59,5,8,8,gcn,8,0,56,0,1.0,1.0,5
62,63,5,8,9,gcn,8,0,64,0,1.0,1.0,5
100,101,5,13,14,gcn,13,0,169,0,1.0,1.0,5
44,46,6,17,18,gcn,17,0,289,0,1.0,1.0,10
76,80,5,10,10,gcn,10,0,90,0,1.0,1.0,20
19,23,5,3,4,gcn,3,0,9,0,1.0,1.0,20
51,53,6,25,26,gcn,25,0,625,0,1.0,1.0,10
20,23,5,3,4,gcn,3,0,9,0,1.0,1.0,15
61,64,5,8,9,gcn,8,0,64,0,1.0,1.0,15
22,25,5,3,4,gcn,3,0,9,0,1.0,1.0,15
61,65,5,8,9,gcn,8,0,64,0,1.0,1.0,20
82,84,5,10,10,gcn,10,0,90,0,1.0,1.0,10
8,10,5,3,3,gcn,3,0,6,0,1.0,1.0,10
42,46,6,17,18,gcn,17,0,289,0,1.0,1.0,20
16,19,5,3,3,gcn,3,0,6,0,1.0,1.0,15
172,175,5,36,37,gcn,36,0,1296,0,1.0,1.0,15
50,54,5,8,8,gcn,8,0,56,0,1.0,1.0,20
168,170,5,35,36,gcn,35,0,1225,0,1.0,1.0,10
166,167,5,35,35,gcn,35,0,1190,0,1.0,1.0,5
146,148,5,24,26,gcn,24,0,600,0,1.0,1.0,10
26,28,5,4,4,gcn,4,0,12,0,1.0,1.0,10
1,2,6,3,3,gcn,3,0,6,0,1.0,1.0,5
36,37,5,6,6,gcn,6,0,30,0,1.0,1.0,5
61,65,6,35,42,gcn,35,0,1435,0,1.0,1.0,20
49,50,6,22,23,gcn,22,0,484,0,1.0,1.0,5
18,21,6,7,8,gcn,7,0,49,0,1.0,1.0,15
67,71,5,9,9,gcn,9,0,72,0,1.0,1.0,20
118,120,5,18,19,gcn,18,0,324,0,1.0,1.0,10
10,12,5,3,3,gcn,3,0,6,0,1.0,1.0,10
147,148,5,26,26,gcn,26,0,650,0,1.0,1.0,5
65,69,5,9,9,gcn,9,0,72,0,1.0,1.0,20
18,20,5,3,3,gcn,3,0,6,0,1.0,1.0,10
50,52,6,23,26,gcn,22,1,574,1,0.9966555183946488,0.9565217391304348,10
178,180,5,38,38,gcn,38,0,1406,0,1.0,1.0,10
18,19,5,3,3,gcn,3,0,6,0,1.0,1.0,5
155,158,5,29,30,gcn,28,1,840,1,0.9977011494252873,0.9655172413793104,15
50,53,5,8,8,gcn,8,0,56,0,1.0,1.0,15
0,2,5,2,2,gcn,2,0,2,0,1.0,1.0,10
103,104,5,14,14,gcn,14,0,182,0,1.0,1.0,5
124,127,5,21,22,gcn,21,0,441,0,1.0,1.0,15
83,85,5,10,10,gcn,10,0,90,0,1.0,1.0,10
98,101,5,12,14,gcn,12,0,156,0,1.0,1.0,15
67,71,6,43,49,gcn,40,3,2061,3,0.9971523493118177,0.9302325581395349,20
28,32,5,4,5,gcn,4,0,16,0,1.0,1.0,20
31,32,6,11,11,gcn,11,0,110,0,1.0,1.0,5
16,20,6,6,7,gcn,6,0,36,0,1.0,1.0,20
93,95,6,116,123,gcn,116,0,14152,0,1.0,1.0,10
108,109,5,14,14,gcn,14,0,182,0,1.0,1.0,5
66,69,6,43,47,gcn,41,2,1976,2,0.9980207817911925,0.9534883720930233,15
41,44,5,7,7,gcn,7,0,42,0,1.0,1.0,15
171,173,5,36,36,gcn,36,0,1260,0,1.0,1.0,10
170,174,5,36,36,gcn,36,0,1260,0,1.0,1.0,20
51,53,5,8,8,gcn,8,0,56,0,1.0,1.0,10
59,61,6,32,35,gcn,32,0,1088,0,1.0,1.0,10
159,162,5,31,33,gcn,31,0,992,0,1.0,1.0,15
154,157,5,28,29,gcn,28,0,784,0,1.0,1.0,15
2,3,5,2,3,gcn,2,0,4,0,1.0,1.0,5
5,8,6,3,5,gcn,3,0,12,0,1.0,1.0,15
121,122,5,21,21,gcn,21,0,420,0,1.0,1.0,5
97,98,6,131,137,gcn,131,0,17816,0,1.0,1.0,5
25,29,6,9,10,gcn,9,0,81,0,1.0,1.0,20
111,114,5,14,15,gcn,14,0,196,0,1.0,1.0,15
15,19,5,3,3,gcn,3,0,6,0,1.0,1.0,20
165,169,5,34,36,gcn,34,0,1190,0,1.0,1.0,20
123,126,5,21,21,gcn,21,0,420,0,1.0,1.0,15
96,98,5,12,12,gcn,12,0,132,0,1.0,1.0,10
137,138,5,23,23,gcn,23,0,506,0,1.0,1.0,5
58,61,6,30,35,gcn,30,0,1020,0,1.0,1.0,15
87,91,6,85,107,gcn,85,0,9010,0,1.0,1.0,20
76,80,6,60,70,gcn,58,2,4138,2,0.9990476190476191,0.9666666666666667,20
35,38,5,6,6,gcn,6,0,30,0,1.0,1.0,15
17,21,5,3,3,gcn,3,0,6,0,1.0,1.0,20
51,54,5,8,8,gcn,8,0,56,0,1.0,1.0,15
62,65,5,8,9,gcn,8,0,64,0,1.0,1.0,15
56,60,5,8,8,gcn,8,0,56,0,1.0,1.0,20
31,32,5,5,5,gcn,5,0,20,0,1.0,1.0,5
81,85,5,10,10,gcn,10,0,90,0,1.0,1.0,20
75,76,6,57,60,gcn,57,0,3363,0,1.0,1.0,5
170,172,5,36,36,gcn,36,0,1260,0,1.0,1.0,10
86,89,5,10,11,gcn,10,0,100,0,1.0,1.0,15
116,117,5,17,18,gcn,17,0,289,0,1.0,1.0,5
47,50,5,7,8,gcn,7,0,49,0,1.0,1.0,15
23,26,5,4,4,gcn,4,0,12,0,1.0,1.0,15
49,52,5,8,8,gcn,8,0,56,0,1.0,1.0,15
81,82,6,72,74,gcn,72,0,5256,0,1.0,1.0,5
142,145,5,24,24,gcn,24,0,552,0,1.0,1.0,15
62,65,6,36,42,gcn,36,0,1476,0,1.0,1.0,15
110,114,5,14,15,gcn,14,0,196,0,1.0,1.0,20
63,64,5,9,9,gcn,9,0,72,0,1.0,1.0,5
152,156,5,28,29,gcn,28,0,784,0,1.0,1.0,20
9,10,5,3,3,gcn,3,0,6,0,1.0,1.0,5
73,74,5,9,10,gcn,9,0,81,0,1.0,1.0,5
63,65,6,37,42,gcn,37,0,1517,0,1.0,1.0,10
12,13,6,6,6,gcn,6,0,30,0,1.0,1.0,5
36,40,5,6,7,gcn,6,0,36,0,1.0,1.0,20
155,156,5,29,29,gcn,29,0,812,0,1.0,1.0,5
14,16,5,3,3,gcn,3,0,6,0,1.0,1.0,10
121,125,5,21,21,gcn,21,0,420,0,1.0,1.0,20
87,90,5,10,11,gcn,10,0,100,0,1.0,1.0,15
171,174,5,36,36,gcn,36,0,1260,0,1.0,1.0,15
46,47,5,7,7,gcn,7,0,42,0,1.0,1.0,5
26,28,6,9,10,gcn,9,0,81,0,1.0,1.0,10
168,172,5,35,36,gcn,35,0,1225,0,1.0,1.0,20
90,92,6,102,112,gcn,102,0,11322,0,1.0,1.0,10
109,112,5,14,15,gcn,14,0,196,0,1.0,1.0,15
29,31,6,10,11,gcn,10,0,100,0,1.0,1.0,10
6,9,5,3,3,gcn,3,0,6,0,1.0,1.0,15
82,83,5,10,10,gcn,10,0,90,0,1.0,1.0,5
107,109,5,14,14,gcn,14,0,182,0,1.0,1.0,10
55,58,5,8,8,gcn,8,0,56,0,1.0,1.0,15
156,157,5,29,29,gcn,29,0,812,0,1.0,1.0,5
34,35,5,6,6,gcn,6,0,30,0,1.0,1.0,5
71,72,5,9,9,gcn,9,0,72,0,1.0,1.0,5
160,162,5,31,33,gcn,31,0,992,0,1.0,1.0,10
92,95,5,11,12,gcn,11,0,121,0,1.0,1.0,15
38,42,6,14,17,gcn,14,0,224,0,1.0,1.0,20
40,44,6,16,17,gcn,16,0,256,0,1.0,1.0,20
38,39,6,14,16,gcn,14,0,210,0,1.0,1.0,5
177,178,5,37,38,gcn,37,0,1369,0,1.0,1.0,5
48,51,5,8,8,gcn,8,0,56,0,1.0,1.0,15
41,45,6,17,17,gcn,17,0,272,0,1.0,1.0,20
86,88,5,10,11,gcn,10,0,100,0,1.0,1.0,10
164,166,5,34,35,gcn,34,0,1156,0,1.0,1.0,10
119,121,5,18,21,gcn,18,0,360,0,1.0,1.0,10
52,53,5,8,8,gcn,8,0,56,0,1.0,1.0,5
137,139,5,23,24,gcn,23,0,529,0,1.0,1.0,10
55,56,5,8,8,gcn,8,0,56,0,1.0,1.0,5
32,33,6,11,12,gcn,11,0,121,0,1.0,1.0,5
117,121,5,18,21,gcn,17,1,359,1,0.9947089947089947,0.9444444444444444,20
61,64,6,35,41,gcn,35,0,1400,0,1.0,1.0,15
22,26,6,8,9,gcn,8,0,64,0,1.0,1.0,20
40,41,5,7,7,gcn,7,0,42,0,1.0,1.0,5
115,117,5,15,18,gcn,14,1,254,1,0.9925925925925926,0.9333333333333333,10
49,51,5,8,8,gcn,8,0,56,0,1.0,1.0,10
144,148,5,24,26,gcn,24,0,600,0,1.0,1.0,20
5,6,6,3,4,gcn,3,0,9,0,1.0,1.0,5
124,125,5,21,21,gcn,21,0,420,0,1.0,1.0,5
100,102,5,13,14,gcn,13,0,169,0,1.0,1.0,10
63,67,6,37,43,gcn,37,0,1554,0,1.0,1.0,20
70,71,6,47,49,gcn,47,0,2256,0,1.0,1.0,5
77,81,6,64,72,gcn,61,3,4541,3,0.9986979166666666,0.953125,20
12,15,6,6,6,gcn,6,0,30,0,1.0,1.0,15
168,169,5,35,36,gcn,35,0,1225,0,1.0,1.0,5
167,168,5,35,35,gcn,35,0,1190,0,1.0,1.0,5
43,45,5,7,7,gcn,7,0,42,0,1.0,1.0,10
17,18,5,3,3,gcn,3,0,6,0,1.0,1.0,5
53,54,6,26,28,gcn,26,0,702,0,1.0,1.0,5
128,129,5,23,23,gcn,23,0,506,0,1.0,1.0,5
81,84,6,72,81,gcn,72,0,5760,0,1.0,1.0,15
48,50,6,20,23,gcn,20,0,440,0,1.0,1.0,10
54,56,5,8,8,gcn,8,0,56,0,1.0,1.0,10
58,59,6,30,32,gcn,30,0,930,0,1.0,1.0,5
24,28,6,9,10,gcn,9,0,81,0,1.0,1.0,20
166,169,5,35,36,gcn,35,0,1225,0,1.0,1.0,15
80,81,5,10,10,gcn,10,0,90,0,1.0,1.0,5
130,134,5,23,23,gcn,23,0,506,0,1.0,1.0,20
128,132,5,23,23,gcn,23,0,506,0,1.0,1.0,20
25,28,6,9,10,gcn,9,0,81,0,1.0,1.0,15
26,30,5,4,5,gcn,4,0,16,0,1.0,1.0,20
89,93,5,11,11,gcn,11,0,110,0,1.0,1.0,20
72,75,6,50,57,gcn,50,0,2800,0,1.0,1.0,15
67,69,5,9,9,gcn,9,0,72,0,1.0,1.0,10
72,76,6,50,60,gcn,50,0,2950,0,1.0,1.0,20
1,3,6,3,3,gcn,3,0,6,0,1.0,1.0,10
58,60,5,8,8,gcn,8,0,56,0,1.0,1.0,10
129,133,5,23,23,gcn,23,0,506,0,1.0,1.0,20
41,45,5,7,7,gcn,7,0,42,0,1.0,1.0,20
4,8,5,3,3,gcn,3,0,6,0,1.0,1.0,20
82,84,6,74,81,gcn,74,0,5920,0,1.0,1.0,10
135,136,5,23,23,gcn,23,0,506,0,1.0,1.0,5
56,58,6,29,30,gcn,29,0,841,0,1.0,1.0,10
92,96,5,11,12,gcn,11,0,121,0,1.0,1.0,20
172,173,5,36,36,gcn,36,0,1260,0,1.0,1.0,5
28,32,6,10,11,gcn,10,0,100,0,1.0,1.0,20
5,6,5,3,3,gcn,3,0,6,0,1.0,1.0,5
12,16,6,6,6,gcn,6,0,30,0,1.0,1.0,20
101,103,5,14,14,gcn,14,0,182,0,1.0,1.0,10
70,74,5,9,10,gcn,9,0,81,0,1.0,1.0,20
3,5,5,3,3,gcn,3,0,6,0,1.0,1.0,10
127,129,5,22,23,gcn,22,0,484,0,1.0,1.0,10
165,167,5,34,35,gcn,34,0,1156,0,1.0,1.0,10
28,30,5,4,5,gcn,4,0,16,0,1.0,1.0,10
52,56,5,8,8,gcn,8,0,56,0,1.0,1.0,20
100,104,5,13,14,gcn,13,0,169,0,1.0,1.0,20
57,58,5,8,8,gcn,8,0,56,0,1.0,1.0,5
104,108,5,14,14,gcn,14,0,182,0,1.0,1.0,20
83,86,5,10,10,gcn,10,0,90,0,1.0,1.0,15
94,98,5,12,12,gcn,12,0,132,0,1.0,1.0,20
1,4,5,2,3,gcn,2,0,4,0,1.0,1.0,15
70,72,6,47,50,gcn,47,0,2303,0,1.0,1.0,10
150,154,5,27,28,gcn,27,0,729,0,1.0,1.0,20
3,4,5,3,3,gcn,3,0,6,0,1.0,1.0,5
11,13,5,3,3,gcn,3,0,6,0,1.0,1.0,10
27,30,5,4,5,gcn,4,0,16,0,1.0,1.0,15
157,159,5,29,31,gcn,29,0,870,0,1.0,1.0,10
10,13,5,3,3,gcn,3,0,6,0,1.0,1.0,15
136,137,5,23,23,gcn,23,0,506,0,1.0,1.0,5
53,54,5,8,8,gcn,8,0,56,0,1.0,1.0,5
70,73,6,47,52,gcn,47,0,2397,0,1.0,1.0,15
125,129,5,21,23,gcn,21,0,462,0,1.0,1.0,20
59,63,6,32,37,gcn,32,0,1152,0,1.0,1.0,20
18,22,6,7,8,gcn,7,0,49,0,1.0,1.0,20
91,92,6,107,112,gcn,107,0,11877,0,1.0,1.0,5
95,98,5,12,12,gcn,12,0,132,0,1.0,1.0,15
34,36,6,12,14,gcn,12,0,156,0,1.0,1.0,10
56,60,6,29,33,gcn,29,0,928,0,1.0,1.0,20
31,34,5,5,6,gcn,5,0,25,0,1.0,1.0,15
80,83,6,70,78,gcn,70,0,5390,0,1.0,1.0,15
5,7,6,3,4,gcn,3,0,9,0,1.0,1.0,10
154,156,5,28,29,gcn,28,0,784,0,1.0,1.0,10
101,105,5,14,14,gcn,14,0,182,0,1.0,1.0,20
43,47,5,7,7,gcn,7,0,42,0,1.0,1.0,20
124,126,5,21,21,gcn,21,0,420,0,1.0,1.0,10
42,44,6,17,17,gcn,17,0,272,0,1.0,1.0,10
75,76,5,10,10,gcn,10,0,90,0,1.0,1.0,5
65,68,6,42,47,gcn,40,2,1930,2,0.9979736575481256,0.9523809523809523,15
122,126,5,21,21,gcn,21,0,420,0,1.0,1.0,20
106,108,5,14,14,gcn,14,0,182,0,1.0,1.0,10
37,41,6,14,17,gcn,14,0,224,0,1.0,1.0,20
105,106,5,14,14,gcn,14,0,182,0,1.0,1.0,5
48,50,5,8,8,gcn,8,0,56,0,1.0,1.0,10
16,17,6,6,6,gcn,6,0,30,0,1.0,1.0,5
143,147,5,24,26,gcn,24,0,600,0,1.0,1.0,20
132,133,5,23,23,gcn,23,0,506,0,1.0,1.0,5
85,88,6,84,91,gcn,84,0,7560,0,1.0,1.0,15
40,43,6,16,17,gcn,16,0,256,0,1.0,1.0,15
80,83,5,10,10,gcn,10,0,90,0,1.0,1.0,15
152,155,5,28,29,gcn,28,0,784,0,1.0,1.0,15
33,35,6,12,13,gcn,12,0,144,0,1.0,1.0,10
157,158,5,29,30,gcn,29,0,841,0,1.0,1.0,5
30,34,6,11,12,gcn,10,1,120,1,0.9848484848484849,0.9090909090909091,20
84,88,5,10,11,gcn,10,0,100,0,1.0,1.0,20
139,143,5,24,24,gcn,24,0,552,0,1.0,1.0,20
102,103,5,14,14,gcn,14,0,182,0,1.0,1.0,5
43,44,5,7,7,gcn,7,0,42,0,1.0,1.0,5
104,106,5,14,14,gcn,14,0,182,0,1.0,1.0,10
48,51,6,20,25,gcn,20,0,480,0,1.0,1.0,15
52,54,6,26,28,gcn,26,0,702,0,1.0,1.0,10
57,60,6,30,33,gcn,30,0,960,0,1.0,1.0,15
42,44,5,7,7,gcn,7,0,42,0,1.0,1.0,10
173,177,5,36,37,gcn,34,2,1294,2,0.996996996996997,0.9444444444444444,20
6,7,6,4,4,gcn,4,0,12,0,1.0,1.0,5
8,11,6,5,6,gcn,5,0,25,0,1.0,1.0,15
108,111,5,14,14,gcn,14,0,182,0,1.0,1.0,15
16,19,6,6,7,gcn,6,0,36,0,1.0,1.0,15
2,5,6,3,3,gcn,3,0,6,0,1.0,1.0,15
3,7,6,3,4,gcn,3,0,9,0,1.0,1.0,20
65,66,6,42,43,gcn,42,0,1764,0,1.0,1.0,5
55,58,6,28,30,gcn,28,0,812,0,1.0,1.0,15
80,84,5,10,10,gcn,10,0,90,0,1.0,1.0,20
28,30,6,10,11,gcn,10,0,100,0,1.0,1.0,10
135,138,5,23,23,gcn,23,0,506,0,1.0,1.0,15
23,24,6,9,9,gcn,9,0,72,0,1.0,1.0,5
90,91,5,11,11,gcn,11,0,110,0,1.0,1.0,5
8,12,5,3,3,gcn,3,0,6,0,1.0,1.0,20
85,87,6,84,85,gcn,84,0,7056,0,1.0,1.0,10
114,115,5,15,15,gcn,15,0,210,0,1.0,1.0,5
33,37,5,5,6,gcn,5,0,25,0,1.0,1.0,20
71,73,6,49,52,gcn,49,0,2499,0,1.0,1.0,10
52,54,5,8,8,gcn,8,0,56,0,1.0,1.0,10
20,21,5,3,3,gcn,3,0,6,0,1.0,1.0,5
142,144,5,24,24,gcn,24,0,552,0,1.0,1.0,10
30,31,5,5,5,gcn,5,0,20,0,1.0,1.0,5
59,60,5,8,8,gcn,8,0,56,0,1.0,1.0,5
44,46,5,7,7,gcn,7,0,42,0,1.0,1.0,10
178,179,5,38,38,gcn,38,0,1406,0,1.0,1.0,5
157,160,5,29,31,gcn,28,1,869,1,0.9977753058954394,0.9655172413793104,15
77,78,5,10,10,gcn,10,0,90,0,1.0,1.0,5
66,70,6,43,47,gcn,40,3,1975,3,0.9970311726867888,0.9302325581395349,20
91,92,5,11,11,gcn,11,0,110,0,1.0,1.0,5
130,133,5,23,23,gcn,23,0,506,0,1.0,1.0,15
105,109,5,14,14,gcn,14,0,182,0,1.0,1.0,20
20,23,6,7,9,gcn,7,0,56,0,1.0,1.0,15
83,85,6,78,84,gcn,78,0,6474,0,1.0,1.0,10
26,29,5,4,4,gcn,4,0,12,0,1.0,1.0,15
35,39,5,6,7,gcn,6,0,36,0,1.0,1.0,20
